file,cuttlefish,background,year,month,day,hour,minute,second,screen,view distance,replicate,folder
6_Uniform_2012_12_5_14_5_21_Checkerboard_7_410_7.png,6,Uniform,2012,12,5,14,5,21,Checkerboard7,410,7,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_5_38_Checkerboard_2_410_14.png,6,Uniform,2012,12,5,15,5,38,Checkerboard2,410,14,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_30_57_Checkerboard_7_210_5.png,6,Uniform,2012,12,5,14,30,57,Checkerboard7,210,5,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_25_56_Static_210_6.png,6,Uniform,2012,12,5,14,25,56,Static,210,6,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_2_45_Static_610_21.png,6,Uniform,2012,12,5,14,2,45,Static,610,21,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_3_29_Static_610_25.png,6,Uniform,2012,12,5,14,3,29,Static,610,25,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_0_43_Checkerboard_4_410_16.png,6,Uniform,2012,12,5,15,0,43,Checkerboard4,410,16,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_1_27_Checkerboard_4_410_19.png,6,Uniform,2012,12,5,15,1,27,Checkerboard4,410,19,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_8_41_Checkerboard_7_410_25.png,6,Uniform,2012,12,5,14,8,41,Checkerboard7,410,25,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_57_30_Checkerboard_4_410_1.png,6,Uniform,2012,12,5,14,57,30,Checkerboard4,410,1,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_37_54_Checkerboard_7_10_11.png,6,Uniform,2012,12,5,14,37,54,Checkerboard7,10,11,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_22_58_Checkerboard_4_610_18.png,6,Uniform,2012,12,5,14,22,58,Checkerboard4,610,18,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_7_1_Checkerboard_7_410_16.png,6,Uniform,2012,12,5,14,7,1,Checkerboard7,410,16,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_43_46_Checkerboard_2_210_14.png,6,Uniform,2012,12,5,14,43,46,Checkerboard2,210,14,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_41_50_Checkerboard_2_210_4.png,6,Uniform,2012,12,5,14,41,50,Checkerboard2,210,4,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_13_42_Checkerboard_7_610_24.png,6,Uniform,2012,12,5,14,13,42,Checkerboard7,610,24,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_41_6_Static_410_16.png,6,Uniform,2012,12,5,13,41,6,Static,410,16,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_50_32_Checkerboard_4_210_22.png,6,Uniform,2012,12,5,14,50,32,Checkerboard4,210,22,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
